"Activity, Exercise or Sport ",Calories per kg per min
"Sailing, competition",0.083415279
"Sailing, yachting, ocean sailing",0.050016901
"Skiing, water skiing",0.100033802
Ski mobiling,0.116762624
"Skin diving, fast",0.26690917
"Skin diving, moderate",0.208570417
"Skin diving, scuba diving",0.116762624
Snorkeling,0.083415279
"Surfing, body surfing or board surfing",0.050016901
"Whitewater rafting, kayaking, canoeing",0.083415279
"Swimming laps, freestyle, fast",0.166824335
"Swimming laps, freestyle, slow",0.116762624
Swimming backstroke,0.116762624
Swimming breaststroke,0.166824335
Swimming butterfly,0.183493891
"Swimming leisurely, not laps",0.100033802
Swimming sidestroke,0.13347699
Swimming synchronized,0.13347699
"Swimming, treading water, fast, vigorous",0.166824335
"Swimming, treading water, moderate",0.066686458
"Water aerobics, water calisthenics",0.066686458
Water polo,0.166824335
Water volleyball,0.050016901
Water jogging,0.13347699
"Diving, springboard or platform",0.050016901
"Ice skating, < 9 mph",0.091756759
"Ice skating, average speed",0.116762624
"Ice skating, rapidly",0.150095513
"Speed skating, ice, competitive",0.250239614
"Cross country snow skiing, slow",0.116762624
"Cross country skiing, moderate",0.13347699
"Cross country skiing, vigorous",0.150095513
"Cross country skiing, racing",0.233510792
"Cross country skiing, uphill",0.275250651
"Snow skiing, downhill skiing, light",0.083415279
"Downhill snow skiing, moderate",0.100033802
"Downhill snow skiing, racing",0.13347699
"Sledding, tobagganing, luge",0.116762624
Snow shoeing,0.13347699
Snowmobiling,0.058409415
General housework,0.058409415
Cleaning gutters,0.083415279
Painting,0.075138236
"Sit, playing with animals",0.041739858
"Walk / run, playing with animals",0.066686458
Bathing dog,0.058409415
"Mowing lawn, walk, power mower",0.091756759
"Mowing lawn, riding mower",0.041739858
"Walking, snow blower",0.058409415
"Riding, snow blower",0.050016901
Shoveling snow by hand,0.100033802
Raking lawn,0.071741649
"Gardening, general",0.066686458
"Bagging grass, leaves",0.066686458
Watering lawn or garden,0.025121335
"Weeding, cultivating garden",0.075138236
"Carpentry, general",0.058409415
Carrying heavy loads,0.13347699
Carrying moderate loads upstairs,0.13347699
General cleaning,0.058409415
"Cleaning, dusting",0.041739858
Taking out trash,0.050016901
"Walking, pushing a wheelchair",0.066686458
"Teach physical education,exercise class",0.066686458
